iter	RMSE
0	12.45069205
1	12.0411858
2	11.58605774
3	11.19238777
4	10.81850436
5	10.53319338
6	10.26436202
7	9.985271974
8	9.781438088
9	9.588571361
10	9.393063082
11	9.220809162
12	9.06446837
13	8.874630045
14	8.730350669
15	8.632300079
16	8.484126781
17	8.341867309
18	8.235032782
19	8.127723237
20	8.03448737
21	7.959189963
22	7.894142949
23	7.824971834
24	7.731592884
25	7.673751199
26	7.619700308
27	7.554202168
28	7.500640685
29	7.45101649
30	7.395725172
31	7.334447212
32	7.272184347
33	7.190680523
34	7.123427191
35	7.079682604
36	7.039629639
37	6.99054261
38	6.945661113
39	6.893536221
40	6.809576337
41	6.781165564
42	6.724449322
43	6.680884075
44	6.611070955
45	6.561359501
46	6.535810795
47	6.499062023
48	6.460678584
49	6.42709919
50	6.393184942
51	6.363590567
52	6.332381334
53	6.300689875
54	6.271888827
55	6.251648258
56	6.211815641
57	6.185304063
58	6.154686494
59	6.120907448
60	6.084116945
61	6.05527819
62	6.02571545
63	6.007503192
64	5.966191027
65	5.935130946
66	5.894497745
67	5.838749714
68	5.803287474
69	5.776549361
70	5.760656179
71	5.744352253
72	5.717548132
73	5.68918766
74	5.660187534
75	5.612502163
76	5.579597767
77	5.545007997
78	5.512107701
79	5.476335128
80	5.44574124
81	5.418907475
82	5.360923648
83	5.343013335
84	5.32175262
85	5.305787646
86	5.291047327
87	5.251317685
88	5.236327294
89	5.225435687
90	5.203509167
91	5.154744851
92	5.133197394
93	5.117690557
94	5.100455999
95	5.087141209
96	5.076374399
97	5.058336142
98	5.025752704
99	5.007322561
100	4.972050685
101	4.963518565
102	4.942807479
103	4.906203426
104	4.897584838
105	4.889769212
106	4.862108298
107	4.842236003
108	4.804216729
109	4.798759687
110	4.772292645
111	4.757553042
112	4.750798439
113	4.745604603
114	4.718306609
115	4.70107658
116	4.669153512
117	4.664056583
118	4.636374187
119	4.615299538
120	4.595874192
121	4.563508135
122	4.547651558
123	4.526715841
124	4.523862896
125	4.502944508
126	4.494967958
127	4.453849842
128	4.423074699
129	4.383325115
130	4.376042664
131	4.355374165
132	4.352439851
133	4.328165675
134	4.325067996
135	4.309194947
136	4.278948924
137	4.259415383
138	4.232107161
139	4.209636576
140	4.189727189
141	4.164005097
142	4.145635104
143	4.124595911
144	4.079850183
145	4.072624129
146	4.05332759
147	4.017487937
148	3.985265513
149	3.967999341
150	3.953475721
151	3.933982937
152	3.923464192
153	3.89931866
154	3.883408302
155	3.860678805
156	3.842897274
157	3.828463719
158	3.8073287
159	3.797633184
160	3.776874056
161	3.739594436
162	3.7061862
163	3.693898099
164	3.680789331
165	3.646391841
166	3.634769783
167	3.622645333
168	3.606646216
169	3.601440993
170	3.579073802
171	3.5529247
172	3.539957177
173	3.529397941
174	3.515161513
175	3.488896501
176	3.477323773
177	3.464767329
178	3.449641044
179	3.433563225
180	3.416235469
181	3.405234482
182	3.389330966
183	3.386735631
184	3.36531453
185	3.354966943
186	3.337576655
187	3.335613618
188	3.315324451
189	3.298223333
190	3.273755909
191	3.259001901
192	3.238343177
193	3.223637367
194	3.21274766
195	3.202019043
196	3.188632395
197	3.168405474
198	3.144106503
199	3.132206912
200	3.115849297
201	3.103508744
202	3.093382533
203	3.077722588
204	3.069270527
205	3.065607645
206	3.044243665
207	3.033167954
208	3.01535631
209	3.00358232
210	3.001017137
211	2.983119864
212	2.968244961
213	2.959689159
214	2.947736557
215	2.938327033
216	2.929392485
217	2.914060026
218	2.906836634
219	2.894748264
220	2.87724808
221	2.856969441
222	2.845693238
223	2.838148395
224	2.821055199
225	2.809729808
226	2.79391074
227	2.771560076
228	2.759264508
229	2.744945618
230	2.736189029
231	2.725397664
