iter	Passed	Remaining
0	131	65430
1	135	33812
2	140	23257
3	145	18090
4	148	14731
5	153	12620
6	156	11011
7	160	9850
8	164	8982
9	168	8244
10	171	7631
11	176	7169
12	180	6751
13	185	6433
14	189	6126
15	193	5845
16	198	5632
17	206	5537
18	211	5346
19	217	5211
20	221	5060
21	227	4934
22	231	4804
23	234	4642
24	236	4497
25	240	4380
26	244	4291
27	250	4219
28	265	4312
29	273	4280
30	281	4252
31	285	4169
32	287	4069
33	290	3975
34	294	3914
35	301	3883
36	304	3816
37	307	3738
38	311	3681
39	313	3610
40	316	3542
41	319	3483
42	321	3421
43	329	3409
44	334	3380
45	337	3327
46	341	3293
47	345	3255
48	349	3213
49	352	3173
50	354	3124
51	361	3115
52	364	3073
53	367	3031
54	369	2990
55	373	2964
56	376	2927
57	379	2891
58	381	2854
59	385	2826
60	391	2814
61	395	2791
62	397	2759
63	402	2742
64	406	2717
65	412	2711
66	416	2692
67	422	2682
68	429	2683
69	435	2674
70	443	2681
71	448	2665
72	452	2643
73	457	2631
74	460	2607
75	464	2589
76	470	2583
77	475	2571
78	478	2552
79	481	2527
80	488	2526
81	496	2528
82	505	2539
83	511	2531
84	524	2559
85	531	2558
86	536	2546
87	542	2540
88	547	2529
89	552	2518
90	556	2501
91	560	2484
92	567	2481
93	578	2500
94	587	2503
95	591	2488
96	597	2482
97	612	2511
98	631	2557
99	639	2558
100	647	2558
101	656	2559
102	670	2585
103	682	2598
104	686	2582
105	694	2580
106	700	2571
107	710	2577
108	714	2561
109	718	2547
110	723	2536
111	730	2529
112	735	2517
113	742	2512
114	746	2499
115	750	2485
116	756	2475
117	760	2462
118	764	2446
119	767	2431
120	774	2425
121	779	2415
122	783	2402
123	788	2391
124	793	2379
125	797	2368
126	803	2360
127	807	2347
128	811	2334
129	815	2321
130	820	2312
131	825	2300
132	829	2288
133	834	2280
134	838	2268
135	842	2255
136	847	2244
137	854	2242
138	859	2232
139	865	2225
140	869	2213
141	873	2201
142	877	2191
143	882	2182
144	887	2171
145	891	2160
146	894	2148
147	898	2136
148	902	2125
149	907	2117
150	912	2108
151	915	2096
152	919	2085
153	924	2077
154	929	2068
155	933	2058
156	938	2050
157	944	2044
158	947	2032
159	951	2022
160	955	2011
161	959	2001
162	962	1990
163	967	1981
164	969	1969
165	973	1959
166	976	1947
167	980	1937
168	984	1928
169	987	1917
170	991	1908
171	995	1898
172	999	1888
173	1003	1880
174	1007	1870
175	1010	1860
176	1013	1849
177	1018	1843
178	1022	1833
179	1027	1826
180	1031	1817
181	1034	1808
182	1038	1798
183	1041	1789
184	1045	1779
185	1049	1771
186	1051	1760
187	1054	1750
188	1057	1740
189	1060	1729
190	1062	1719
191	1065	1709
192	1068	1700
193	1073	1693
194	1076	1683
195	1079	1674
